"","Geneid","H02","H03","H05","Average"
"314","KYNU",525,503,529,519
"315","PRF1",525,442,474,480.333333333333
"316","GZMA",504,350,281,378.333333333333
"317","MCAM",497,409,2276,1060.66666666667
"318","CHAD",496,158,169,274.333333333333
"319","SEMA3G",461,399,1310,723.333333333333
"320","PODXL",454,762,1241,819
"321","HOPX",452,312,193,319
"322","CADM1",447,362,327,378.666666666667
"323","CD7",444,289,371,368
"324","COL15A1",439,354,547,446.666666666667
"325","SDHA",434,452,472,452.666666666667
"326","MEPE",426,99,203,242.666666666667
"327","MEIS1",421,565,922,636
"328","PLAT",420,390,891,567
"329","SLC24A3",415,491,708,538
"330","NCAM1",414,442,381,412.333333333333
"331","MYH11",396,330,1755,827
"332","PDGFB",395,401,774,523.333333333333
"333","MAL",381,266,384,343.666666666667
"334","CDKN1A",381,343,680,468
"335","CLEC10A",373,304,225,300.666666666667
"336","SDC2",372,269,806,482.333333333333
"337","CD109",364,641,868,624.333333333333
"338","SLIT2",354,396,379,376.333333333333
"339","TNFRSF25",352,474,654,493.333333333333
"340","HOXA9",345,304,294,314.333333333333
"341","PTPRB",334,546,1313,731
"342","ACTA2",332,213,1079,541.333333333333
"343","ITGB7",330,400,428,386
"344","SOST",305,74,109,162.666666666667
"345","XACT",299,196,147,214
"346","ADIPOQ",298,305,1497,700
"347","CYTL1",297,224,472,331
"348","NGFR",295,259,824,459.333333333333
"349","CD200",293,385,329,335.666666666667
"350","PLAG1",292,411,367,356.666666666667
"351","CCDC26",292,206,197,231.666666666667
"352","GPM6A",287,248,242,259
"353","HMGA2",284,392,550,408.666666666667
"354","ITGA8",281,341,256,292.666666666667
"355","SPINK2",280,131,106,172.333333333333
"356","DOCK4",279,466,682,475.666666666667
"357","PRX",279,241,316,278.666666666667
"358","CD19",272,250,452,324.666666666667
"359","SEMA3F",264,199,327,263.333333333333
"360","MPZ",258,310,378,315.333333333333
"361","GZMB",256,156,165,192.333333333333
"362","CNTN1",247,352,494,364.333333333333
"363","ACSM1",244,203,132,193
"364","EREG",237,332,240,269.666666666667
"365","KLRB1",230,184,221,211.666666666667
"366","HPGDS",227,175,501,301
"367","NES",219,194,606,339.666666666667
"368","HOXA10",215,186,190,197
"369","FGFR3",214,329,862,468.333333333333
"370","CFH",200,327,425,317.333333333333
"371","MECOM",197,231,335,254.333333333333
"372","VPREB3",197,108,241,182
"373","VPREB1",185,95,181,153.666666666667
"374","DMP1",182,114,357,217.666666666667
"375","HES1",178,145,201,174.666666666667
"376","NRXN3",177,255,531,321
"377","TNF",174,188,124,162
"378","GATA3",174,141,108,141
"379","TNFRSF11A",173,117,252,180.666666666667
"380","BAALC",172,115,184,157
"381","JAG2",171,155,369,231.666666666667
"382","RYR3",168,407,568,381
"383","NLRP3",165,135,92,130.666666666667
"384","ACKR3",165,239,274,226
"385","THY1",163,71,442,225.333333333333
"386","CD40LG",163,217,238,206
"387","CLEC3B",160,111,275,182
"388","ITGA2",158,300,713,390.333333333333
"389","CLEC9A",158,201,204,187.666666666667
"390","NDUFB8",155,238,265,219.333333333333
"391","ITGA10",153,219,394,255.333333333333
"392","SELE",150,260,23,144.333333333333
"393","NEFH",149,167,134,150
"394","FGFR2",147,138,190,158.333333333333
"395","MPL",146,209,316,223.666666666667
"396","PDGFA",145,122,284,183.666666666667
"397","TSHZ2",140,131,219,163.333333333333
"398","TRDC",137,129,191,152.333333333333
"399","LRP4",128,180,208,172
"400","PROCR",127,88,154,123
"401","IL7",120,130,184,144.666666666667
"402","HEY1",118,135,224,159
"403","CD1C",117,180,253,183.333333333333
"404","BMP3",114,133,148,131.666666666667
"405","CCL24",114,72,49,78.3333333333333
"406","CDH2",114,118,99,110.333333333333
"407","CACNA1C",109,194,227,176.666666666667
"408","PF4",107,70,166,114.333333333333
"409","OGN",107,120,139,122
"410","FGF2",106,170,306,194
"411","CDKN2A",106,95,159,120
"412","MADCAM1",103,111,122,112
"413","ARPP21",102,162,155,139.666666666667
"414","DLL4",96,78,206,126.666666666667
"415","DLL1",88,113,221,140.666666666667
"416","GLI1",85,167,195,149
"417","HEY2",83,62,80,75
"418","UMODL1",83,45,78,68.6666666666667
"419","ANGPT2",82,75,124,93.6666666666667
"420","NLGN1",80,80,106,88.6666666666667
"421","LINC01013",76,87,186,116.333333333333
"422","CSPG4",76,93,470,213
"423","IL2RA",74,55,106,78.3333333333333
"424","SP7",73,76,83,77.3333333333333
"425","IL23A",69,58,69,65.3333333333333
"426","AVPR1A",69,90,75,78
"427","FGF1",68,34,93,65
"428","XCR1",65,76,98,79.6666666666667
"429","POSTN",63,35,128,75.3333333333333
"430","FOSL1",59,70,64,64.3333333333333
"431","IGF1",59,49,86,64.6666666666667
"432","HBA1",57,33,81,57
"433","PNMT",57,45,451,184.333333333333
"434","AXIN2",57,71,94,74
"435","LAMA3",52,52,197,100.333333333333
"436","FOXP3",50,50,55,51.6666666666667
"437","LAMA2",49,25,47,40.3333333333333
"438","TNFRSF18",48,33,46,42.3333333333333
"439","IL11RA",47,114,271,144
"440","AVPR2",47,37,83,55.6666666666667
"441","TNFSF11",37,15,30,27.3333333333333
"442","AREG",34,40,580,218
"443","SCT",34,20,13,22.3333333333333
"444","PRDM16",32,33,108,57.6666666666667
"445","RORC",31,60,53,48
"446","HES5",30,20,48,32.6666666666667
"447","IL23R",30,13,2,15
"448","CD1A",27,19,30,25.3333333333333
"449","FLT3LG",25,36,44,35
"450","PRODH",24,34,19,25.6666666666667
"451","IL6",22,25,16,21
"452","LAMA1",20,15,8,14.3333333333333
"453","COL2A1",19,9,18,15.3333333333333
"454","VTN",19,16,16,17
"455","IL27",18,21,28,22.3333333333333
"456","CTLA4",17,19,26,20.6666666666667
"457","PDPN",15,2,9,8.66666666666667
"458","IFNG",14,27,8,16.3333333333333
"459","DBH",11,12,26,16.3333333333333
"460","CD68",11,9,32,17.3333333333333
"461","NEFL",10,15,16,13.6666666666667
"462","HOXB5",10,11,18,13
"463","GPR20",9,3,13,8.33333333333333
"464","DAO",9,0,0,3
"465","PLP1",9,9,0,6
"466","BGLAP",8,28,35,23.6666666666667
"467","GPC5",8,15,7,10
"468","AVP",8,2,0,3.33333333333333
"469","SOX10",8,9,14,10.3333333333333
"470","THPO",6,9,22,12.3333333333333
"471","MMP3",6,0,0,2
"472","NDUFA7",6,35,40,27
"473","IL2",2,2,4,2.66666666666667
"474","DDC",2,3,2,2.33333333333333
"475","CSF3",2,0,5,2.33333333333333
"476","NGF",1,4,7,4
"477","IL3",1,0,0,0.333333333333333
"478","NEFM",1,0,2,1
"479","CLEC4G",1,2,0,1
"480","PLA2G2A",0,0,6,2
"481","CSF2",0,1,1,0.666666666666667
"482","IL5",0,3,4,2.33333333333333
"483","IL17A",0,0,0,0
"484","TH",0,3,2,1.66666666666667
"485","FGF3",0,0,0,0
"486","IL11",0,0,1,0.333333333333333
"487","CSF2RA",0,0,0,0
"488","IL3RA",0,0,0,0
